Protein	Description	Gene	negtive	positive	gene_name
A0A024R6A5	Protein phosphatase 1A (Formerly 2C), magnesium-dependent, alpha isoform, isoform CRA_a 	PPM1A	8530740.125	0	PPM1A
A0A024R6I7	Alpha-1-antitrypsin 	SERPINA1	7018043.34375	0	SERPINA1
A0A024R6W0	Aspartate aminotransferase 	GOT2	65945573.90625	9105085.0390625	GOT2
A0A024R7B7	CDC37 cell division cycle 37 homolog (S. cerevisiae), isoform CRA_a 	CDC37	373092.6875	0	CDC37
A0A024R7J0	Protein kinase, cAMP-dependent, catalytic, alpha, isoform CRA_c 	PRKACA	0	1184558.953125	PRKACA
A0A024R7X6	Retinol dehydrogenase 10 (All-trans), isoform CRA_a 	RDH10	2713657.0625	4072096.1875	RDH10
A0A024R8L1	WW domain binding protein 2, isoform CRA_a 	WBP2	1584831.25	0	WBP2
A0A024R8M0	Guanine nucleotide binding protein (G protein), alpha 13, isoform CRA_a 	GNA13	1453106.125	9102437.59375	GNA13
A0A024R8M4	Phosphoribosyl pyrophosphate synthetase-associated protein 1, isoform CRA_a 	PRPSAP1	1500172.25	335355.46875	PRPSAP1
A0A024R8S5	Protein disulfide-isomerase 	P4HB	5801148.375	8052825.75	P4HB
A0A024R9W0	Lipoyl synthase, mitochondrial 	LIAS	388594.59375	404252.1875	LIAS
A0A024RAD5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit 	DDOST	550178.25	545904.375	DDOST
A0A024RAJ9	Arylsulfatase B, isoform CRA_a 	ARSB	98051.328125	0	ARSB
A0A024RAV0	Branched-chain-amino-acid aminotransferase 	BCAT1	181130.734375	0	BCAT1
A0A024RAZ7	Heterogeneous nuclear ribonucleoprotein A1, isoform CRA_b 	HNRPA1	153237.671875	228574.84375	HNRPA1
A0A024RB75	Citrate synthase 	CS	527745.5625	1450494.203125	CS
A0A024RB85	Proliferation-associated 2G4, 38kDa, isoform CRA_a 	PA2G4	2989334.5625	0	PA2G4
A0A024RBB7	Nucleosome assembly protein 1-like 1, isoform CRA_a 	NAP1L1	0	0	NAP1L1
A0A024RBL2	Serine dehydratase-like, isoform CRA_a 	SDSL	0	0	SDSL
A0A024RC55	Milk fat globule-EGF factor 8 protein, isoform CRA_a 	MFGE8	0	111145.75	MFGE8
A0A024RDL1	Chaperonin containing TCP1, subunit 6A (Zeta 1), isoform CRA_a 	CCT6A	0	0	CCT6A
A0A024RDQ8	Replication factor C (Activator 1) 3, 38kDa, isoform CRA_a 	RFC3	0	0	RFC3
A0A024RDY3	Lysosomal-associated membrane protein 1, isoform CRA_a 	LAMP1	526658.125	561895.3125	LAMP1
A0A059RM34	Cytochrome c oxidase subunit 1 	COX1	355866.3125	1008987.1875	COX1
A0A087WSV8	Nucleobindin 2, isoform CRA_b 	NUCB2	0	152921.390625	NUCB2
A0A087WT44	Heme oxygenase 2 	HMOX2	790681.359375	6116027.65625	HMOX2
A0A087WUL9	26S proteasome non-ATPase regulatory subunit 13 	PSMD13	0	466530.96875	PSMD13
A0A087WW40	Endophilin-B1 	SH3GLB1	0	159564.90625	SH3GLB1
A0A087WX23	Retrotransposon-derived protein PEG10 	PEG10	298893.484375	0	PEG10
A0A087WXU3	Extended synaptotagmin-2 	ESYT2	0	0	ESYT2
A0A087WY31	YTH domain-containing family protein 3 	YTHDF3	285254.28125	58469.90234375	YTHDF3
A0A087WZK0	Deoxyhypusine synthase 	DHPS	474067.109375	0	DHPS
A0A087WZN1	Isocitrate dehydrogenase [NAD] subunit, mitochondrial 	IDH3B	8064890.328125	533927.296875	IDH3B
A0A087X1E4	Arfaptin-2 	ARFIP2	136284.53125	135289.109375	ARFIP2
A0A087X1N8	Serpin B6 	SERPINB6	4655193.609375	4423308.21875	SERPINB6
A0A090N8Y2	Protein disulfide-isomerase A4 	ERP70	12963118.1796875	16233943.6328125	ERP70
A0A0A0MQR2	Replication termination factor 2 	RTF2	1643846.5	366071.25	RTF2
A0A0A0MQX8	Muscleblind-like protein 1 	MBNL1	435839.25	0	MBNL1
A0A0A0MR05	Target of rapamycin complex subunit LST8 	MLST8	139856.3125	0	MLST8
A0A0A0MSS8	Aldo-keto reductase family 1 member C3 	AKR1C3	73953.3125	0	AKR1C3
A0A0A0MT26	Sodium/potassium-transporting ATPase subunit alpha-3 	ATP1A3	0	394758.84375	ATP1A3
A0A0A6YYJ8	Putative RNA-binding protein Luc7-like 2 	LUC7L2	0	383109.15625	LUC7L2
A0A0B4J1R4	4-hydroxyphenylpyruvate dioxygenase 	HPD	918818.6875	0	HPD
A0A0B4J269	Uncharacterized protein 		0	404545.296875	TUBB3
A0A0C4DFS6	Protein sprouty homolog 4 	SPRY4	480649.15625	0	SPRY4
A0A0C4DG17	40S ribosomal protein SA 	RPSA	114433994	27166286.203125	RPSA
A0A0J9YX62	DnaJ homolog subfamily B member 6 	DNAJB6	0	296629.046875	DNAJB6
A0A0J9YXF2	Paraoxonase 2, isoform CRA_a 	PON2	2121466.3828125	5510866.25	PON2
A0A0S2Z3P9	Acyl-CoA dehydrogenase short/branched chain isoform 1 (Fragment) 	ACADSB	0	528074.40625	ACADSB
A0A0S2Z3Q4	V-crk sarcoma virus CT10 oncogene-like protein isoform 1 (Fragment) 	CRK	59201.45703125	0	CRK
A0A0S2Z3Y1	Lectin galactoside-binding soluble 3 binding protein isoform 1 (Fragment) 	LGALS3BP	1923000.5	1673945.703125	LGALS3BP
A0A0S2Z428	HCG2039812, isoform CRA_b (Fragment) 	KRT6A	0	1366562.265625	KRT6A
A0A0S2Z430	Phosphoenolpyruvate carboxykinase 2 isoform 1 (Fragment) 	PCK2	173296.765625	288022.28125	PCK2
A0A0S2Z471	Creatine kinase brain isoform 2 (Fragment) 	CKB	1885000.328125	362421.875	CKB
A0A0S2Z497	Peroxisomal biogenesis factor 19 isoform 1 (Fragment) 	PEX19	540927.078125	0	PEX19
A0A0S2Z4C3	Epididymis secretory sperm binding protein (Fragment) 	FH	120689.671875	0	FH
A0A0S2Z542	Mitogen-activated protein kinase (Fragment) 	MAPK13	386797.328125	0	MAPK13
A0A0S2Z5C9	Putative tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase 	FTSJ1	2366999.75	0	FTSJ1
A0A0S2Z5G8	Solute carrier family 39 member 4 isoform 1 (Fragment) 	SLC39A4	0	140099.484375	SLC39A4
A0A0S2Z5U6	Pyrroline-5-carboxylate reductase (Fragment) 	PYCR2	1977546.78125	12506680.578125	PYCR2
A0A0S4XQV8	MHC class I antigen 	HLA-A	2308522.203125	2706855.6875	HLA-A
A0A140VJJ8	NA	NA	NA	NA	GNB1
A0A140VJU5	SH3-domain GRB2-like endophilin B1, isoform CRA_a 	SH3GLB1	4262123.1875	0	SH3GLB1
A0A140VK83	Protein phosphatase 1, regulatory subunit 7, isoform CRA_b 	PPP1R7	119908.6484375	0	PPP1R7
A0A161I202	Lactoferrin 	LTF	0	217938.53125	LTF
A0A173ADJ6	MHC class I antigen 	HLA-A	0	0	HLA-A
A0A1B0GUH1	Aminomethyltransferase 		0	0	AMT
A0A1K0GXZ1	Globin C1 	GLNC1	542283.640625	0	GLNC1
A0A1W2PPZ5	Transcription elongation factor A protein 1 	TCEA1	11433543.8359375	5247027.640625	TCEA1
A0A286YFF7	Palmitoyl-protein thioesterase 1 	PPT1	0	236824.921875	PPT1
A0A288Q9P9	MHC class I antigen (Fragment) 	HLA-B	0	0	HLA-B
A0A2L0RI88	Isovalery CoA dehydrogenase 	IVD	15616659.640625	16212682.125	IVD
A0A2R8Y422	Uncharacterized protein 		2716227.75	0	RPS27AP5
A0A2R8Y6G6	Alpha-enolase 	ENO1	0	1322392.578125	ENO1
A0A2R8YDT1	Glutamine synthetase 	GLUL	126274.3984375	0	GLUL
A0A2U9QGI0	NAP1L4/NUTM1D fusion protein 	NAP1L4	0	198520.09375	NAP1L4
A0A343J4V6	MHC class I antigen (Fragment) 	HLA-A	947041.125	800500.921875	HLA-A
A0A383S1V3	MHC class I antigen 	HLA-C	112948.203125	0	HLA-C
A0A383S2A3	MHC class I antigen 	HLA-C	190783.328125	0	HLA-C
A0A384MDQ7	Epididymis secretory sperm binding protein 		0	7036340.671875	SERPINA1
A0A384ME17	Elongation factor Tu 	TUFM	1282965.5078125	1789178.75	TUFM
A0A384MTI8	Decapping enzyme, scavenger 	DCPS	443453.921875	1050747.7421875	DCPS
A0A384NL58	Epididymis secretory sperm binding protein 		0	8691172.9765625	HNRNPA2B1
A0A384NPN7	Aldehyde dehydrogenase 2 family (Mitochondrial), isoform CRA_c 	ALDH2	228731.078125	0	ALDH2
A0A384NPU5	Epididymis secretory sperm binding protein 		0	2543444.25	PDIA6
A0A384NPY7	Epididymis secretory sperm binding protein 	LMAN2	16782801.171875	55055657	LMAN2
A0A3B3ISG8	Uncharacterized protein 		0	0	NDUFA9
A0A3B3ITT5	60S ribosomal protein L29 	RPL29	0	0	RPL29
A0A3B3IUB5	Minor histocompatibility antigen H13 	HM13	1734651.28125	2566592.609375	HM13
A0MNP2	CDW11/WDR57 	WDR57	300267.28125	0	WDR57
A2A3R6	40S ribosomal protein S6 	RPS6	0	0	RPS6
A6NCS6	Uncharacterized protein C2orf72 	C2orf72	0	101702.3984375	C2orf72
A6NFX8	ADP-sugar pyrophosphatase 	NUDT5	0	175959.1875	NUDT5
A6NJ78	Probable methyltransferase-like protein 15 	METTL15	1592653.046875	868536.2421875	METTL15
A7BI36	p180/ribosome receptor 	RRBP1	0	0	RRBP1
A8K0Q1	cDNA FLJ77001, highly similar to Homo sapiens ring finger protein 126 (RNF126), transcript variant 2, mRNA 		0	0	RNF126
A8K0T9	cDNA FLJ75422, highly similar to Homo sapiens capping protein (actin filament) muscle Z-line, alpha 1, mRNA 		0	239864.34375	CAPZA1
A8K3K1	cDNA FLJ78096, highly similar to Homo sapiens actin, alpha, cardiac muscle (ACTC), mRNA 		0	375835.375	ACTC1
A8K3M3	Tyrosine-protein phosphatase non-receptor type 	PTPN1	1225392.40625	157466.015625	PTPN1
A8K3X3	cDNA FLJ77685 		0	0	DSN1
A8K4K1	cDNA FLJ78216, highly similar to Homo sapiens lysosomal neuraminidase, mRNA 		0	2255992.390625	NEU1
A8K5D4	Myelin protein zero-like 1, isoform CRA_b 	MPZL1	794248.15625	0	MPZL1
A8K5K5	Eukaryotic translation initiation factor 3 subunit G 	EIF3G	0	0	EIF3G
A8MXP9	Matrin-3 	MATR3	0	0	MATR3
A8VYP1	MHC class I antigen (Fragment) 	HLA-A	443264.15625	242909.421875	HLA-A
B0YIW6	Archain 1, isoform CRA_a 	ARCN1	849930.421875	100621.4296875	ARCN1
B2R4P2	cDNA, FLJ92164, highly similar to Homo sapiens peroxiredoxin 1 (PRDX1), mRNA 		0	140302.0625	PRDX1
B2R8Z8	cDNA, FLJ94136, highly similar to Homo sapiens synaptotagmin binding, cytoplasmic RNA interacting protein (SYNCRIP), mRNA 		0	0	SYNCRIP
B2RAA8	cDNA, FLJ94802 		0	0	ACBD6
B2RB23	cDNA, FLJ95265, highly similar to Homo sapiens acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (ACAA2), nuclear gene encoding mitochondrial protein, mRNA 		0	0	ACAA2
B2RDW1	Epididymis luminal protein 112 	RPS27A	0	2702885.3125	HEL112
B3KP90	cDNA FLJ31447 fis, clone NT2NE2000913, highly similar to Protein phosphatase 2C isoform beta 		0	373721.65625	PPM1B
B3KS98	Eukaryotic translation initiation factor 3 subunit H 	EIF3H	25449496.0078125	11277319.359375	EIF3H
B3KW34	Protein YIPF 		0	0	YIPF5
B4DE59	cDNA FLJ60424, highly similar to Junction plakoglobin 		0	0	JUP
B4DKM0	cDNA FLJ51883, highly similar to Mitochondrial 39S ribosomal protein L3 		0	3830771.953125	MRPL3
B4DN86	cDNA FLJ56047, highly similar to A kinase anchor protein 1, mitochondrial 		0	0	AKAP1
B4DR61	cDNA FLJ59739, highly similar to Protein transport protein Sec61 subunit alpha isoform 1 	SEC61A1	1703084.8046875	2241065.0625	SEC61A1
B4DRC8	cDNA FLJ50047 		0	223949.40625	NHLRC3
B4DRS6	Sideroflexin 		0	988058.09375	SFXN3
B4DUT8	Calponin 	CNN2	1297897.5625	6573358.78125	CNN2
B4DVA7	Beta-hexosaminidase 		0	128779.609375	HEXA
B4DX78	cDNA FLJ55484, highly similar to ATP-dependent RNA helicase DDX39 		0	0	DDX39A
B4DZF8	Serine/threonine-protein phosphatase 2A activator 		0	1235669.2265625	PTPA
B4E1H4	cDNA FLJ54226, highly similar to Transmembrane protein 9 		0	0	TMEM9
B4E1T5	cDNA FLJ55764, highly similar to Apolipoprotein-L2 		0	0	APOL2
B5BU08	U2 small nuclear RNA auxillary factor 1 isoform a 	U2AF1	2163822.96875	1044706.25	U2AF1
B5BUB5	Autoantigen La (Fragment) 	SSB	445607.0625	385948.78125	SSB
B5BUD2	Replication factor C 2 isoform 1 (Fragment) 	RFC2	5210883.484375	2102794.71875	RFC2
B5MCA4	Epithelial cell adhesion molecule 	EPCAM	11944682.09375	11921641.6875	EPCAM
B5MDU6	Lipid droplet-associated hydrolase 	LDAH	2567701.90625	6089721.78125	LDAH
B7Z1K5	Tubulin alpha chain 		0	186741.890625	TUBA1C
C9JEJ2	Choline-phosphate cytidylyltransferase A 	PCYT1A	153825.375	0	PCYT1A
D2SNZ4	Proline rich 11, isoform CRA_a 	PRR11	0	0	PRR11
D3DND1	CDV3 homolog (Mouse), isoform CRA_a 	CDV3	163869.921875	0	CDV3
D3DQ48	Transmembrane protein 59, isoform CRA_e 	TMEM59	174630.84375	0	TMEM59
D3DR40	Chromosome 10 open reading frame 4, isoform CRA_b 	C10orf4	91278.9375	0	C10orf4
D3DSQ1	N-acylsphingosine amidohydrolase (Acid ceramidase) 1, isoform CRA_c 	ASAH1	2708040.25	4140173.875	ASAH1
D6REE5	Receptor of-activated protein C kinase 1 (Fragment) 	RACK1	0	126867.375	RACK1
D6W551	Chromosome 2 open reading frame 28, isoform CRA_d 	C2orf28	0	116239.8984375	C2orf28
E5KMI6	Lon protease homolog, mitochondrial 	LONP1	0	190443.9375	LONP1
E5KNY5	Leucine-rich PPR-motif containing 	LRPPRC	323983.75	1216409.53125	LRPPRC
E7EQB3	tRNA-splicing endonuclease subunit Sen34 	TSEN34	0	0	TSEN34
E7EQR8	Protein YIPF3 	YIPF3	0	118220.921875	YIPF3
E7EQZ4	Survival motor neuron protein 	SMN1	152921.328125	171463.765625	SMN1
E7ESC7	E3 ubiquitin-protein transferase MAEA 	MAEA	1092671.921875	0	MAEA
E7ESZ7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial 	NDUFA10	10679610.78125	13036800.5625	NDUFA10
E9PAV3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	NACA	590851.421875	2339436.8046875	NACA
E9PCR7	2-oxoglutarate dehydrogenase, mitochondrial 	OGDH	222089.203125	0	OGDH
E9PDI4	Ladinin-1 	LAD1	219302.75	0	LAD1
E9PRY8	Elongation factor 1-delta 	EEF1D	11251822.140625	2980889.84375	EEF1D
F5H5D3	Tubulin alpha chain 	TUBA1C	1235120.4765625	0	TUBA1C
F5H7W8	Chromosome 12 open reading frame 43 	C12orf43	147033.375	0	C12orf43
F8VRH0	Poly(rC)-binding protein 2 (Fragment) 	PCBP2	8906233	4381262	PCBP2
F8W8D3	Histone RNA hairpin-binding protein 	SLBP	389665.0859375	175215.015625	SLBP
F8WA42	Inactive C-alpha-formylglycine-generating enzyme 2 	SUMF2	0	125943.8984375	SUMF2
G4XZE8	MHC class I antigen (Fragment) 	HLA-A	0	0	HLA-A
G8JLB6	Heterogeneous nuclear ribonucleoprotein H 	HNRNPH1	0	66831.375	HNRNPH1
H0Y449	Nuclease-sensitive element-binding protein 1 (Fragment) 	YBX1	0	2030347.453125	YBX1
H0Y4G9	Myeloid differentiation primary response protein MyD88 	MYD88	121785.375	0	MYD88
H0Y4R2	NADPH--cytochrome P450 reductase (Fragment) 	POR	335634.546875	0	POR
H0YAV1	Ribonucleoside-diphosphate reductase subunit M2 B (Fragment) 	RRM2B	756556.8125	0	RRM2B
H0YNJ6	GMP reductase 	GMPR2	1388703.6875	662016.234375	GMPR2
H3BMF4	Protein spinster homolog 1 	SPNS1	295016.6875	519301.9375	SPNS1
H3BS72	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 	HACD3	0	186875.453125	HACD3
H3BUB6	Secretory carrier-associated membrane protein (Fragment) 	SCAMP2	0	582392.25	SCAMP2
H6QX63	Hepatocellular carcinoma related protein 2 		0	0	CCDC137
H6VRG1	Keratin 1 	KRT1	89712169.84375	193110751.1875	KRT1
H7BZJ3	Protein disulfide-isomerase A3 (Fragment) 	PDIA3	0	454167.65625	PDIA3
H7C2Q8	EBNA1 binding protein 2, isoform CRA_d 	EBNA1BP2	986958.703125	0	EBNA1BP2
I6L975	Hydroxysteroid dehydrogenase like 1 	HSDL1	5345337.9296875	14248603.703125	HSDL1
I6RUN0	MHC class I antigen (Fragment) 	HLA-A	0	314677.53125	HLA-A
J3KN66	Torsin-1A-interacting protein 1 	TOR1AIP1	1038102.625	2352999.3125	TOR1AIP1
J3KPF3	4F2 cell-surface antigen heavy chain 	SLC3A2	709929.125	444258.6875	SLC3A2
J3KPS0	DnaJ (Hsp40) homolog, subfamily B, member 12, isoform CRA_c 	DNAJB12	0	5163638.625	DNAJB12
J3KPS3	Fructose-bisphosphate aldolase 	ALDOA	185207513.84375	89513596.03125	ALDOA
J3KPT4	TraB domain-containing protein 	TRABD	0	0	TRABD
J3KQ69	DNA replication licensing factor MCM3 	MCM3	0	0	MCM3
J3KQE5	GTP-binding nuclear protein Ran (Fragment) 	RAN	0	0	RAN
K9JA46	Epididymis luminal secretory protein 52 	EL52	2175725.8359375	2119983.9375	EL52
M0QXZ5	Zinc finger protein 428 (Fragment) 	ZNF428	357957	0	ZNF428
O00154	Cytosolic acyl coenzyme A thioester hydrolase 	ACOT7	13776881.046875	6578928.921875	ACOT7
O00273	DNA fragmentation factor subunit alpha 	DFFA	2805273.125	1597711.90625	DFFA
O00764	Pyridoxal kinase 	PDXK	315909.1875	1351341.875	PDXK
O14495	Phospholipid phosphatase 3 	PLPP3	0	0	PLPP3
O14828	Secretory carrier-associated membrane protein 3 	SCAMP3	180799.203125	977116.1875	SCAMP3
O14944	Proepiregulin 	EREG	99387.96875	0	EREG
O14979	Heterogeneous nuclear ribonucleoprotein D-like 	HNRNPDL	3946634.625	4230640.34375	HNRNPDL
O15160	DNA-directed RNA polymerases I and III subunit RPAC1 	POLR1C	1383287.078125	0	POLR1C
O15162	Phospholipid scramblase 1 	PLSCR1	877594.375	1190724.9375	PLSCR1
O15400	Syntaxin-7 	STX7	4906785.3984375	2781744.25	STX7
O15427	Monocarboxylate transporter 4 	SLC16A3	2518678.15625	1540537	SLC16A3
O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	DHX15	0	58773.72265625	DHX15
O43291	Kunitz-type protease inhibitor 2 	SPINT2	905020.9375	0	SPINT2
O43464	Serine protease HTRA2, mitochondrial 	HTRA2	0	980784.6875	HTRA2
O43488	Aflatoxin B1 aldehyde reductase member 2 	AKR7A2	0	1860164.359375	AKR7A2
O43609	Protein sprouty homolog 1 	SPRY1	0	0	SPRY1
O43615	Mitochondrial import inner membrane translocase subunit TIM44 	TIMM44	21597319.3125	19421536.5703125	TIMM44
O43681	ATPase ASNA1 	ASNA1	3006895.34375	261683.25	GET3
O43684	Mitotic checkpoint protein BUB3 	BUB3	11619870.515625	1445985.96875	BUB3
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha 	SGTA	248159.28125	198403.15625	SGTA
O60488	Long-chain-fatty-acid--CoA ligase 4 	ACSL4	210151.75	0	ACSL4
O60637	Tetraspanin-3 	TSPAN3	1203953	0	TSPAN3
O60673	DNA polymerase zeta catalytic subunit 	REV3L	102565.7265625	0	REV3L
O60701	UDP-glucose 6-dehydrogenase 	UGDH	495631.71875	625832.5	UGDH
O60716	Catenin delta-1 	CTNND1	84673.1171875	0	CTNND1
O75190	DnaJ homolog subfamily B member 6 	DNAJB6	1355351.28125	0	DNAJB6
O75306	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial 	NDUFS2	0	0	NDUFS2
O75317	Ubiquitin carboxyl-terminal hydrolase 12 	USP12	0	0	USP12
O75367	Core histone macro-H2A.1 	H2AFY	222962.34375	400717.96875	MACROH2A1
O75436	Vacuolar protein sorting-associated protein 26A 	VPS26A	8992465.796875	5409434.5625	VPS26A
O75477	NA	NA	NA	NA	ERLIN1
O75521	Enoyl-CoA delta isomerase 2, mitochondrial 	ECI2	115120.25	799716.296875	ECI2
O75616	GTPase Era, mitochondrial 	ERAL1	878909.953125	0	ERAL1
O75764	Transcription elongation factor A protein 3 	TCEA3	88786.953125	0	TCEA3
O75844	CAAX prenyl protease 1 homolog 	ZMPSTE24	804863.671875	1037747.671875	ZMPSTE24
O76003	Glutaredoxin-3 	GLRX3	16095276.28125	3258705.828125	GLRX3
O94760	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 	DDAH1	134288.359375	129689.5390625	DDAH1
O95202	Mitochondrial proton/calcium exchanger protein 	LETM1	0	862566.40625	LETM1
O95210	Starch-binding domain-containing protein 1 	STBD1	928682.40625	0	STBD1
O95433	Activator of 90 kDa heat shock protein ATPase homolog 1 	AHSA1	18202553.40625	4306765.7734375	AHSA1
O96008	Mitochondrial import receptor subunit TOM40 homolog 	TOMM40	14325649.328125	20495449.21875	TOMM40
P00338	L-lactate dehydrogenase A chain 	LDHA	0	0	LDHA
P00387	NADH-cytochrome b5 reductase 3 	CYB5R3	0	1624355.109375	CYB5R3
P00813	Adenosine deaminase 	ADA	1858488.890625	512718.69921875	ADA
P02533	Keratin, type I cytoskeletal 14 	KRT14	1363583.28125	2550006.125	KRT14
P02649	Apolipoprotein E 	APOE	5363009.0546875	4833389.4375	APOE
P04040	Catalase 	CAT	1566404.421875	1483265.0625	CAT
P04259	Keratin, type II cytoskeletal 6B 	KRT6B	324707.90625	0	KRT6B
P04406	Glyceraldehyde-3-phosphate dehydrogenase 	GAPDH	0	305147.25	GAPDH
P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 	RPN1	202539.21875	230720.640625	RPN1
P04899	Guanine nucleotide-binding protein G(i) subunit alpha-2 	GNAI2	1418367.0625	12004609.734375	GNAI2
P05026	Sodium/potassium-transporting ATPase subunit beta-1 	ATP1B1	1508133.09375	555333.25	ATP1B1
P05198	Eukaryotic translation initiation factor 2 subunit 1 	EIF2S1	44957367.09375	18512801.671875	EIF2S1
P05556	Integrin beta-1 	ITGB1	831857.9765625	855828.671875	ITGB1
P05787	Keratin, type II cytoskeletal 8 	KRT8	6672770.625	5211790.5234375	KRT8
P06733	Alpha-enolase 	ENO1	1793588.96875	0	ENO1
P06748	Nucleophosmin 	NPM1	33003715.6875	7604842.953125	NPM1
P07195	L-lactate dehydrogenase B chain 	LDHB	165484.15625	0	LDHB
P07355	Annexin A2 	ANXA2	0	823889.734375	ANXA2
P07992	DNA excision repair protein ERCC-1 	ERCC1	0	0	ERCC1
P08559	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial 	PDHA1	2066923.03125	1798878.015625	PDHA1
P08727	Keratin, type I cytoskeletal 19 	KRT19	3855926.015625	35839872.8125	KRT19
P08754	Guanine nucleotide-binding protein G(k) subunit alpha 	GNAI3	14872489.703125	5268332.625	GNAI3
P08779	Keratin, type I cytoskeletal 16 	KRT16	884314.3125	301191.15625	KRT16
P08962	CD63 antigen 	CD63	5336452.5	6748433.21875	CD63
P09668	Pro-cathepsin H 	CTSH	444652.453125	164411.984375	CTSH
P12004	Proliferating cell nuclear antigen 	PCNA	35435960.359375	89663032.53125	PCNA
P12532	Creatine kinase U-type, mitochondrial 	CKMT1A	925178.09375	264369	CKMT1A
P13010	X-ray repair cross-complementing protein 5 	XRCC5	268705.875	0	XRCC5
P13639	Elongation factor 2 	EEF2	2069950.03125	252521.734375	EEF2
P13645	Keratin, type I cytoskeletal 10 	KRT10	79051843.015625	100638749.71875	KRT10
P13647	Keratin, type II cytoskeletal 5 	KRT5	2201414.453125	7300620.71875	KRT5
P14324	Farnesyl pyrophosphate synthase 	FDPS	2860763.375	5835812.1796875	FDPS
P14550	Alcohol dehydrogenase [NADP(+)] 	AKR1A1	9246139.328125	7194644.71875	AKR1A1
P15121	Aldose reductase 	AKR1B1	0	0	AKR1B1
P16402	Histone H1.3 	HIST1H1D	1074417.25	0	H1-3
P16989	Y-box-binding protein 3 	YBX3	0	0	YBX3
P17706	Tyrosine-protein phosphatase non-receptor type 2 	PTPN2	300187.4375	0	PTPN2
P17980	26S proteasome regulatory subunit 6A 	PSMC3	0	250157.875	PSMC3
P17987	T-complex protein 1 subunit alpha 	TCP1	225753.625	0	TCP1
P18206	Vinculin 	VCL	143744.640625	0	VCL
